# source, target, count, etype
0,1,1,da
0,2,1,da
0,3,1,da
0,4,3,da
0,5,1,da
0,1295,1,dd
0,1411,1,dd
0,1560,1,dd
0,1228,1,dd
0,1568,2,ad
0,1887,2,ad
1,2668,1,aa
1,2108,2,aa
1,44,16,ad
1,2740,9,ad
1,2427,1,ad
1,2026,20,ad
1,2207,2,ad
1,1916,1,ad
1,1942,23,ad
1,4,1,ad
1,392,2,ad
2,1936,1,aa
2,382,6,aa
2,319,2,aa
2,959,2,ad
2,2098,1,ad
2,2353,8,ad
2,954,2,ad
2,0,1,ad
2,4,3,ad
2,389,28,ad
2,1563,1,ad
2,2708,13,ad
2,1680,2,ad
2,1419,1,ad
2,1121,8,ad
2,1038,11,ad
2,794,6,ad
2,2629,6,ad
2,961,12,ad
2,394,6,ad
2,1340,5,ad
2,1229,1,ad
2,1864,1,ad
2,319,1,ad
2,2086,1,ad
2,2861,2,ad
3,89,1,da
3,1228,1,da
3,2797,1,dd
3,1474,1,dd
3,77,1,aa
3,2265,3,aa
3,1963,1,aa
3,1957,1,aa
3,257,3,aa
3,3,1,aa
3,2072,2,aa
3,1726,1,aa
3,2418,1,aa
3,2797,4,aa
3,5,8,aa
3,1295,3,ad
3,1339,11,ad
3,0,2,ad
3,2043,1,ad
3,5,1,ad
3,1228,22,ad
3,2724,6,ad
3,1560,10,ad
3,2067,2,ad
3,514,1,ad
3,1482,1,ad
4,2265,1,aa
4,1957,2,aa
4,3,3,aa
4,5,4,aa
4,1559,4,aa
4,1295,1,ad
4,1339,3,ad
4,0,4,ad
4,1228,1,ad
4,2724,3,ad
4,1560,2,ad
4,720,1,ad
5,77,4,aa
5,2265,4,aa
5,73,1,aa
5,1957,1,aa
5,3,2,aa
5,1559,2,aa
5,4,8,aa
5,1295,3,ad
5,1339,3,ad
5,2298,1,ad
5,2266,3,ad
5,1228,5,ad
5,1582,1,ad
5,2068,2,ad
5,2724,1,ad
5,1560,2,ad
5,2067,5,ad
5,2569,1,ad
6,7,1,da
6,8,1,da
6,9,1,da
6,10,1,da
6,6,1,dd
6,1627,3,dd
6,874,2,dd
6,177,6,dd
6,189,3,dd
6,1991,1,dd
6,273,1,dd
6,180,2,dd
6,271,3,dd
6,471,1,dd
6,1527,2,dd
6,1306,1,dd
6,1804,1,dd
6,1678,1,dd
6,1326,1,dd
6,351,1,aa
6,55,1,aa
6,46,2,aa
6,48,3,aa
6,180,1,aa
6,357,1,aa
6,2821,1,aa
6,54,1,aa
6,425,3,ad
6,439,1,ad
6,348,1,ad
6,2341,3,ad
6,1199,4,ad
6,1204,1,ad
6,82,7,ad
6,354,2,ad
6,178,1,ad
6,53,3,ad
6,358,1,ad
6,56,4,ad
6,356,1,ad
6,2217,1,ad
6,867,1,ad
6,2055,1,ad
6,1611,9,ad
6,432,1,ad
6,468,1,ad
6,379,1,ad
6,444,2,ad
6,81,1,ad
6,85,1,ad
