# index, vids, hemisphere, homologue, cell_type, annotations, cluster, _pos
0,9842383,left,6219445,DN-SEZ,no official annotation,5,"array([0.59006798, 0.95983181])"
1,1347886,left,7160160,sensory,gustatory-pharyngeal,6,"array([0.54658483, 0.99906774])"
2,11671564,left,15522777,sensory,gustatory-pharyngeal,3,"array([0.56158484, 0.92070416])"
3,3498479,left,3414508,DN-SEZ,no official annotation,83,"array([0.62720193, 0.89232453])"
4,9787859,left,11941255,DN-SEZ,no official annotation,52,"array([0.57973054, 0.93646017])"
5,9795662,left,15250080,DN-SEZ,no official annotation,52,"array([0.60554934, 0.95698193])"
6,17360254,left,4393350,PN-somato,noci 2nd_order PN,18,"array([0.71944118, 0.82421186])"
7,17378483,right,17360038,pre-DN-VNC,no official annotation,50,"array([0.68086295, 0.81137147])"
8,1690576,right,1042538,ascending,A00c_a6; noci,52,"array([0.72783034, 0.82653876])"
9,17360038,left,17378483,pre-DN-VNC,no official annotation,50,"array([0.69716258, 0.81455344])"
10,16490014,left,1141813,PN-somato,noci 2nd_order PN,14,"array([0.74753396, 0.8457764 ])"
11,4595609,left,19120853,ascending,mechano-II/III,56,"array([0.65764293, 0.89711465])"
12,19120772,left,891237,sensory,respiratory,20,"array([0.71547931, 0.9761898 ])"
13,3795424,left,11291344,sensory,respiratory,20,"array([0.67238891, 0.95724601])"
14,8247641,right,17414715,LN,no official annotation,25,"array([0.51299459, 0.87560215])"
15,8480418,right,-1,LN,no official annotation,25,"array([0.50556256, 0.87401094])"
16,7897051,right,8700125,LN,no official annotation,25,"array([0.51276437, 0.8706619 ])"
17,8271034,right,7694589,LN,no official annotation,52,"array([0.50018873, 0.87917671])"
18,16014701,left,16574328,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.74076704, 0.87420842])"
19,19919566,left,1137946,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.73577585, 0.8531807 ])"
20,10403609,right,16961482,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.73022863, 0.82345783])"
21,15668869,right,19102929,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.72632872, 0.86027497])"
22,5704424,,-1,,,0,"array([0.73581944, 0.86448027])"
23,16595001,left,21591033,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.724768  , 0.84335345])"
24,7184082,right,5343578,ascending,mechano-Ch,23,"array([0.75681205, 0.79294798])"
25,11719626,left,20278329,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.73106138, 0.8543884 ])"
26,9730873,right,-1,KC,KC,42,"array([0.53433434, 0.81970206])"
27,3234817,right,15571194,LN,APL,57,"array([0.55836937, 0.83126897])"
28,4651929,right,8399890,PN,94a&94b PN; uPN; olfactory 2nd_order PN,12,"array([0.5605423 , 0.85884661])"
29,3664102,right,7187384,KC,KC,40,"array([0.564758  , 0.82823227])"
30,7057894,left,6611894,MBIN,DAN-i1,57,"array([0.56568044, 0.81585625])"
31,8066542,right,11725803,KC,KC,30,"array([0.55268135, 0.81176865])"
32,8504660,right,-1,KC,KC,49,"array([0.53193187, 0.81612793])"
33,3813487,,-1,,,0,"array([0.56550623, 0.83939523])"
34,8850802,right,5937084,KC,KC,30,"array([0.55105814, 0.81628223])"
35,8245146,right,7851153,PN,82a PN; uPN; olfactory 2nd_order PN,12,"array([0.51107183, 0.85717395])"
36,8413663,right,16627838,KC,KC,30,"array([0.55370377, 0.81880544])"
37,17884299,right,11333054,PN,Gustatory PN 1; gustatory-external 2nd_order PN,17,"array([0.57614309, 0.87587422])"
38,8248631,right,7865652,PN,22c PN; uPN; olfactory 2nd_order PN,12,"array([0.56322232, 0.86048197])"
39,12740290,left,2432564,PN,gut 2nd_order PN,21,"array([0.60222106, 1.05662176])"
40,15994926,left,15576194,sensory,gut,9,"array([0.57914425, 1.04403433])"
41,15770945,left,17951153,sensory,gut,16,"array([0.61523893, 1.08051753])"
42,1435466,left,15546924,sensory,gut,16,"array([0.63724464, 1.039306  ])"
43,1351125,left,15564911,sensory,gut,9,"array([0.58784686, 1.10427968])"
44,19470184,left,3732322,DN-SEZ,no official annotation,24,"array([0.58961007, 1.03153076])"
45,8880781,right,17223685,DN-VNC,no official annotation,18,"array([0.72472907, 0.79739466])"
46,1042538,left,1690576,ascending,A00c_a6; noci,52,"array([0.71902299, 0.80802925])"
47,5343578,left,7184082,ascending,mechano-Ch,23,"array([0.71750127, 0.79541596])"
48,8805777,right,14338439,PN-somato,noci 2nd_order PN,26,"array([0.7149547 , 0.83906284])"
49,21591033,right,16595001,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.72101888, 0.81216697])"
50,4130960,right,16059078,PN-somato,mechano-Ch 2nd_order PN,27,"array([0.70872692, 0.84888272])"
51,7766016,left,10937355,ascending,mechano-Ch,14,"array([0.72526207, 0.82139132])"
52,9161929,right,17729410,PN-somato,noci 2nd_order PN,19,"array([0.72882214, 0.81263762])"
53,6692908,right,11263687,PN-somato,noci 2nd_order PN,18,"array([0.70783289, 0.83793599])"
54,16961482,left,10403609,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.73508345, 0.82528642])"
55,10982951,left,8697453,PN-somato,noci 2nd_order PN,18,"array([0.71667808, 0.8565471 ])"
56,17654624,right,12273754,PN-somato,noci 2nd_order PN,18,"array([0.72457415, 0.82925958])"
57,8970595,right,17105977,PN-somato,noci 2nd_order PN,18,"array([0.71143047, 0.81677546])"
58,21590978,,-1,,,0,"array([0.75098221, 0.80281002])"
59,2511238,left,3093284,ascending,A00c_a4; noci,52,"array([0.70600824, 0.81086352])"
60,5462159,left,6446394,DN-VNC,no official annotation,68,"array([0.68534065, 0.80354752])"
61,16574328,right,16014701,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.74239517, 0.84316174])"
62,8641784,right,17464168,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.72297292, 0.81648827])"
63,11455472,left,8257672,ascending,unknown modality,23,"array([0.76452299, 0.81267345])"
64,17541953,right,9508724,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.72032558, 0.85342504])"
65,3182103,right,9739780,pre-DN-SEZ,no official annotation,18,"array([0.72876336, 0.83317617])"
66,15684934,right,17729020,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.72810309, 0.85663353])"
67,2432564,right,12740290,PN,gut 2nd_order PN,21,"array([0.60685398, 1.04086491])"
68,15574328,right,9820270,sensory,gut,20,"array([0.60915271, 0.97455259])"
69,15574941,right,-1,sensory,gut,24,"array([0.60609012, 1.02752192])"
70,15575052,right,-1,sensory,gut,9,"array([0.59020009, 1.05094114])"
71,6883831,right,1375101,sensory,gut,20,"array([0.6159185 , 1.00152424])"
72,3420915,left,3622234,PN,FFN-18; gustatory-pharyngeal 2nd_order PN; gut 2nd_order PN,54,"array([0.63618157, 0.91561294])"
73,1398253,left,15574199,sensory,gut,63,"array([0.63581589, 0.96190877])"
74,18440675,left,12335381,DN-SEZ,no official annotation,5,"array([0.58126124, 0.96440568])"
75,1406463,left,15573450,sensory,gut,20,"array([0.66209135, 0.9835941 ])"
76,1405493,left,15548694,sensory,gut,20,"array([0.62966875, 0.96435463])"
77,3436420,right,6445994,DN-SEZ,no official annotation,83,"array([0.64374942, 0.91398494])"
78,2816457,left,2619565,ascending,A00c_a5; noci,23,"array([0.71511299, 0.80019417])"
79,3093284,right,2511238,ascending,A00c_a4; noci,52,"array([0.70732595, 0.8208578 ])"
80,8826198,right,15514582,PN-somato,noci 2nd_order PN,71,"array([0.65732233, 0.78998682])"
81,9720614,right,10893103,PN-somato,noci 2nd_order PN,46,"array([0.69896904, 0.82499198])"
82,11081239,right,17732031,pre-DN-VNC,no official annotation,46,"array([0.68570636, 0.82837768])"
83,16347283,right,10229852,PN-somato,noci 2nd_order PN,78,"array([0.60472452, 0.74463199])"
84,9753418,right,5769582,PN-somato,noci 2nd_order PN,62,"array([0.65445287, 0.81286223])"
85,9698907,,-1,,,0,"array([0.69952629, 0.82052972])"
86,17654634,right,6623049,LN,no official annotation,52,"array([0.69763441, 0.78682733])"
87,8203947,left,17952967,LHN,no official annotation,47,"array([0.6276809 , 0.82758297])"
88,8349454,left,1591351,PN,FFN-30; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22,"array([0.60967632, 0.8722144 ])"
89,8752697,right,3157405,MB-FBN,FAN-1,55,"array([0.63126504, 0.85549936])"
90,5369028,right,16428373,pre-DN-VNC,no official annotation,62,"array([0.64069371, 0.80479068])"
91,5134110,right,5657004,pre-DN-VNC,no official annotation,46,"array([0.69580773, 0.82254074])"
92,9641919,right,16089738,CN,no official annotation,53,"array([0.60809443, 0.84716832])"
93,7982896,left,8177199,LHN,no official annotation,32,"array([0.59309397, 0.85501233])"
94,5734134,,-1,,,0,"array([0.65395908, 0.83412273])"
95,11464638,right,10543751,CN,CN-4,64,"array([0.60613499, 0.80600154])"
96,9507904,right,12325227,PN-somato,FFN-29; noci 2nd_order PN,43,"array([0.65894614, 0.83711471])"
97,16356967,left,10319019,PN-somato,Tel10; noci 2nd_order PN,52,"array([0.68666724, 0.78550491])"
98,5503982,right,8347907,pre-DN-VNC,no official annotation,52,"array([0.70172551, 0.79133032])"
99,16617920,right,5745929,pre-DN-VNC,no official annotation,71,"array([0.65224232, 0.77723629])"
100,17177005,left,8019816,MB-FBN,FB2N-5,81,"array([0.60477868, 0.76003236])"
101,7065182,right,18062678,LN,CN-20,75,"array([0.59743613, 0.79439531])"
102,17380319,right,10248031,pre-DN-VNC,no official annotation,85,"array([0.61785213, 0.72354348])"
103,18098174,right,16385470,MB-FFN,FFN-23,76,"array([0.63000798, 0.78226216])"
104,7980369,right,7026287,MB-FBN,FBN-23,75,"array([0.60403876, 0.81074318])"
105,16699958,right,14000746,MB-FBN,CN-33; FAN-7,82,"array([0.59290854, 0.7970067 ])"
106,14214039,right,9057998,CN,no official annotation,76,"array([0.59909099, 0.77405728])"
107,16823703,right,16475849,MB-FBN,CN-25; FAN-12,64,"array([0.59530236, 0.80676791])"
108,12122924,right,10612094,MB-FBN,FBN-28; mechano-Ch 2nd_order PN,60,"array([0.62058211, 0.79019059])"
109,16181377,right,11703922,LHN,LHN-16; CN-52,53,"array([0.59523882, 0.8460447 ])"
110,11826171,right,4391317,LHN,no official annotation,53,"array([0.57314822, 0.84159912])"
111,8469124,right,8582134,LHN,no official annotation,55,"array([0.60594496, 0.82340964])"
112,4514494,right,8078096,MB-FBN,CN-44; FAN-3,64,"array([0.59027153, 0.82412906])"
113,17437725,right,10427055,LHN,no official annotation,55,"array([0.60000738, 0.80327142])"
114,7431625,right,17047087,LHN,no official annotation,53,"array([0.61187907, 0.85266535])"
115,17058350,,-1,,,0,"array([0.58484099, 0.84407719])"
116,4099900,right,2439134,LHN,no official annotation,53,"array([0.59334727, 0.84374616])"
117,18425189,,-1,,,0,"array([0.64554924, 0.86196371])"
118,14540633,left,4473922,MB-FBN,CN-36; FAN-4; PL-9,64,"array([0.58962924, 0.80978087])"
119,15594113,left,15590555,pre-DN-SEZ,no official annotation,76,"array([0.6242527 , 0.80959287])"
120,9457719,right,13852833,MB-FBN,FB2N-4,53,"array([0.61633357, 0.84208864])"
121,10340880,right,16089743,LHN,no official annotation,61,"array([0.59075325, 0.85301962])"
122,7977834,right,7582489,LHN,no official annotation,53,"array([0.58127378, 0.83803443])"
123,8305958,right,9207332,LHN,no official annotation,53,"array([0.58480749, 0.85801079])"
124,16335254,right,15517247,pre-DN-VNC,no official annotation,31,"array([0.65168291, 0.84563999])"
125,13722516,right,16141217,LHN,no official annotation,37,"array([0.66162698, 0.88611919])"
126,20479959,,-1,,,0,"array([0.66713617, 0.8907598 ])"
127,17326218,right,4664256,PN-somato,noci 2nd_order PN,31,"array([0.67252968, 0.80552066])"
128,18341449,,-1,,,0,"array([0.66913309, 0.89725469])"
129,10018260,left,17379372,LHN,no official annotation,47,"array([0.64561437, 0.84673793])"
130,9141404,left,16691937,MB-FBN,CN-37; FBN-2,82,"array([0.59487359, 0.77737817])"
131,8052161,left,4152272,MB-FBN,FB2N-14,69,"array([0.5770603 , 0.75749103])"
132,17280216,left,4337398,MB-FBN,FB2N-13,69,"array([0.58176818, 0.75252139])"
133,12805363,right,11525714,MBIN,OAN-g1,74,"array([0.59015428, 0.79903075])"
134,13852833,left,9457719,MB-FBN,FB2N-4,53,"array([0.61369345, 0.83643073])"
135,17047087,left,7431625,LHN,no official annotation,53,"array([0.61417428, 0.85092638])"
136,4274518,left,19156025,pre-DN-VNC,no official annotation,74,"array([0.59352794, 0.76588829])"
137,6610913,right,16852589,pre-DN-SEZ,no official annotation,91,"array([0.59863043, 0.75116705])"
138,7056904,left,17176927,pre-DN-SEZ,CN-30,64,"array([0.59698376, 0.80490121])"
139,11011058,left,2667061,CN,FFN-2,55,"array([0.5858211 , 0.79996013])"
140,17176808,left,17176819,MB-FFN,FFN-6,77,"array([0.63723115, 0.80955884])"
141,4117305,left,16720240,KC,KC,36,"array([0.56239652, 0.8026354 ])"
142,15398730,left,6703240,MBON,MBON-n1,64,"array([0.5768839, 0.8124971])"
143,8540770,left,15488316,MB-FBN,FB2N-8,76,"array([0.61178818, 0.7959044 ])"
144,15404207,right,4381129,MBIN,MBIN-l1,57,"array([0.57634476, 0.77391813])"
145,11257084,left,7612147,LHN,LHN-20; CN-56,64,"array([0.60501204, 0.81451928])"
146,15766806,left,13863331,MB-FBN,FBN-15; LHN-12; CN-48,61,"array([0.59955764, 0.83448718])"
147,4199033,right,4408397,MB-FBN,FAN-8,81,"array([0.59119193, 0.78045753])"
148,10427055,left,17437725,LHN,no official annotation,55,"array([0.5959783 , 0.81386419])"
149,9409359,left,3913620,CN,CN-6,64,"array([0.61185611, 0.79309743])"
150,14617508,left,14680483,pre-DN-VNC,CN-34,77,"array([0.63488022, 0.76892935])"
151,7371184,right,16383966,pre-DN-VNC,no official annotation,65,"array([0.62188921, 0.74657569])"
152,16445073,left,15481779,pre-DN-VNC,no official annotation,77,"array([0.62789014, 0.77754993])"
153,5681132,left,7574701,MB-FBN,FBN-25,87,"array([0.58778938, 0.72335207])"
154,17016974,left,4022539,MBON,MBON-m1; CN-62,82,"array([0.58798033, 0.79122824])"
155,8019816,right,17177005,MB-FBN,FB2N-5,81,"array([0.6047054 , 0.76599367])"
156,8792477,right,9062992,MB-FBN,FBN-21,81,"array([0.59360184, 0.76178966])"
157,18028397,right,16846805,MBON,MBON-k1,59,"array([0.58291486, 0.79554912])"
158,5934511,right,9064208,MB-FBN,FBN-19,81,"array([0.58647723, 0.76238425])"
159,4617479,right,8864785,MB-FBN,FBN-7,79,"array([0.62605014, 0.80311453])"
160,14451162,,-1,,,0,"array([0.63975185, 0.84247536])"
161,10543751,left,11464638,CN,CN-4,64,"array([0.59306646, 0.8057761 ])"
162,11003551,left,17913199,PN-somato,noci 2nd_order PN,81,"array([0.60528234, 0.77307089])"
163,15421363,left,3299214,MBON,MBON-j1,57,"array([0.57240974, 0.81701718])"
164,5938794,left,8310955,LHN,no official annotation,61,"array([0.58746422, 0.8383071 ])"
165,9103732,right,9238937,MB-FBN,FAN-10,81,"array([0.59845789, 0.76889807])"
166,4391317,left,11826171,LHN,no official annotation,53,"array([0.5805484 , 0.84113834])"
167,11703922,left,16181377,LHN,LHN-16; CN-52,53,"array([0.59030893, 0.8424237 ])"
168,4228119,,-1,,,0,"array([0.59119354, 0.80293032])"
169,16933362,left,4234016,MB-FFN,FFN-41,69,"array([0.57924941, 0.7619159 ])"
170,17813006,right,9051960,CN,no official annotation,76,"array([0.60833693, 0.79310602])"
171,4381377,left,10673895,MBIN,DAN-g1,57,"array([0.57777683, 0.80864645])"
172,11600886,left,7980189,CN,CN-24,82,"array([0.59948115, 0.79674256])"
173,16385470,left,18098174,MB-FFN,FFN-23,76,"array([0.63630653, 0.78283494])"
174,9051960,left,17813006,CN,no official annotation,76,"array([0.60837088, 0.7897281 ])"
175,14374534,right,1679034,pre-DN-VNC,no official annotation,78,"array([0.60136498, 0.75271774])"
176,3862443,right,5691934,PN-somato,noci 2nd_order PN,46,"array([0.69945736, 0.83246164])"
177,17729088,left,9637388,LHN,noci 2nd_order PN,26,"array([0.69898451, 0.85623991])"
178,11029851,right,15587533,PN-somato,mechano-Ch 2nd_order PN,27,"array([0.72022506, 0.83373317])"
179,8942413,right,11286854,PN-somato,mechano-Ch 2nd_order PN,14,"array([0.74932036, 0.86051854])"
180,15587533,left,11029851,PN-somato,mechano-Ch 2nd_order PN,27,"array([0.72406317, 0.83811383])"
